subject,object,provided_by,predicate,api_name,api_id
AnatomicalEntity,Disease,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
SmallMolecule,Disease,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
ChemicalEntity,Disease,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
Polypeptide,Disease,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
MolecularMixture,Disease,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
OrganismTaxon,Disease,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
ComplexMolecularMixture,Disease,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
SmallMolecule,PhenotypicFeature,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
ChemicalEntity,PhenotypicFeature,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
Polypeptide,PhenotypicFeature,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
MolecularMixture,PhenotypicFeature,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
OrganismTaxon,PhenotypicFeature,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
ComplexMolecularMixture,PhenotypicFeature,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
SmallMolecule,Cell,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
SmallMolecule,AnatomicalEntity,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
SmallMolecule,CellularComponent,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
ChemicalEntity,CellularComponent,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
MolecularMixture,CellularComponent,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
OrganismTaxon,CellularComponent,,treats,Automat Biolink (trapi v-1.2.0),6a3c22bbb4d533c15013a3f9000a8709
BiologicalProcess,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cell,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MaterialSample,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MicroRNA,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cohort,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
RNAProduct,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysiologicalProcess,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Transcript,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinDomain,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellLine,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinFamily,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,PhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellLine,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,BehavioralFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
