subject,object,provided_by,predicate,api_name,api_id
OrganismTaxon,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cell,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellLine,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinFamily,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,Activity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
RNAProduct,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinFamily,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MicroRNA,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MaterialSample,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cell,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinDomain,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,Pathway,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,MaterialSample,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MicroRNA,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,SmallMolecule,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Transcript,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NoncodingRNAProduct,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cell,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cohort,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinFamily,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinDomain,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellLine,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MaterialSample,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
RNAProduct,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,OrganismTaxon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MaterialSample,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cohort,Gene,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
RNAProduct,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Transcript,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysiologicalProcess,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinFamily,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularActivity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Phenomenon,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PopulationOfIndividualOrganisms,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellLine,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PathologicalProcess,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalMixture,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Treatment,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cell,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Publication,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeneFamily,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GrossAnatomicalStructure,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Behavior,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ProteinDomain,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MicroRNA,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NucleicAcidEntity,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MaterialSample,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Cohort,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Pathway,DiseaseOrPhenotypicFeature,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
SmallMolecule,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhysicalEntity,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ChemicalEntity,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Procedure,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Device,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
InformationContentEntity,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
NamedThing,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
ClinicalIntervention,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
DiseaseOrPhenotypicFeature,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,NucleicAcidEntity,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Drug,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Protein,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Vitamin,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
GeographicLocation,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Gene,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalProcess,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Polypeptide,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
PhenotypicFeature,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
CellularComponent,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Food,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
OrganismTaxon,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Agent,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
AnatomicalEntity,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
MolecularEntity,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Disease,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
Activity,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
BiologicalEntity,Phenomenon,,treats,RTX KG2,acca268be3645a24556b81cc15ce0e9a
